year,genre,total_owners
2013,Action,367290000.0
2013,Free to Play,249800000.0
2013,Strategy,217575000.0
2013,Adventure,125890000.0
2013,Indie,122960000.0
2014,Action,207290000.0
2014,Indie,179390000.0
2014,Adventure,122405000.0
2014,Free to Play,93870000.0
2014,Strategy,62475000.0
2015,Action,233720000.0
2015,Indie,231765000.0
2015,Adventure,159805000.0
2015,Free to Play,117795000.0
2015,Strategy,100230000.0
2016,Indie,280045000.0
2016,Action,235435000.0
2016,Adventure,163285000.0
2016,Free to Play,100355000.0
2016,Strategy,79640000.0
2017,Action,333495000.0
2017,Indie,255005000.0
2017,Adventure,233370000.0
2017,Free to Play,176230000.0
2017,Strategy,60420000.0
2018,Action,173320000.0
2018,Indie,148510000.0
2018,Adventure,106055000.0
2018,Free to Play,86875000.0
2018,Strategy,47795000.0